Índice,Tema/Subtema/Tópico,Título,Contagem Total,Participação Total,2013,2014,2015,2016,2017,2018,2019,2020,2024,2025
1.,Tema,Os constituintes fundamentais da matéria,50,0.21008403361344538,3,4,5,2,4,7,7,9,3,6
1.1,Sub-tema,Átomos: partículas subatômicas; configuração eletrônica,10,0.04201680672268908,1,1,0,0,1,1,1,3,0,2
1.1.1,Tópico,Átomos: partículas subatômicas; configuração eletrônica,10,0.04201680672268908,1,1,0,0,1,1,1,3,0,2
1.2,Sub-tema,"Elementos químicos: massa atômica, número atômico, isotopia; classificação periódica e propriedades periódicas",15,0.06302521008403361,1,1,2,1,2,1,2,2,1,2
1.2.1,Tópico,"Elementos químicos: massa atômica, número atômico, isotopia",7,0.029411764705882353,0,0,1,0,1,0,2,1,1,1
1.2.2,Tópico,Elementos químicos: classificação periódica e propriedades periódicas,8,0.03361344537815126,1,1,1,1,1,1,0,1,0,1
1.3,Sub-tema,Íons e moléculas: ligações químicas; geometria molecular; interações intermoleculares,22,0.09243697478991597,1,2,3,1,1,4,3,3,2,2
1.3.1,Tópico,Íons e moléculas: ligações químicas,9,0.037815126050420166,1,0,1,0,1,2,1,1,1,1
1.3.2,Tópico,Íons e moléculas: geometria molecular,11,0.046218487394957986,0,1,2,1,0,2,2,2,0,1
1.3.3,Tópico,Íons e moléculas: interações intermoleculares,2,0.008403361344537815,0,1,0,0,0,0,0,0,1,0
1.4,Sub-tema,Bases moleculares da vida: ácidos nucleicos; proteínas; lipídios; carboidratos,3,0.012605042016806723,0,0,0,0,0,1,1,1,0,0
1.4.1,Tópico,Bases moleculares da vida: ácidos nucleicos; proteínas; lipídios; carboidratos,3,0.012605042016806723,0,0,0,0,0,1,1,1,0,0
2.,Tema,As substâncias e suas transformações,188,0.7899159663865546,20,13,15,23,22,21,17,20,21,16
2.1,Sub-tema,"Substância pura e misturas: conceitos, propriedades, classificações; processos de separação de misturas",1,0.004201680672268907,1,0,0,0,0,0,0,0,0,0
2.1.1,Tópico,"Substância pura e misturas: conceitos, propriedades, classificações; processos de separação de misturas",1,0.004201680672268907,1,0,0,0,0,0,0,0,0,0
2.2,Sub-tema,"Soluções: unidades de concentração expressas em percentagem, em g.L-1 e em quantidade de matéria; diluição e misturas",12,0.05042016806722689,2,2,1,1,2,2,0,1,1,0
2.2.1,Tópico,"Soluções: unidades de concentração expressas em percentagem, em g.L-1 e em quantidade de matéria; diluição e misturas",12,0.05042016806722689,2,2,1,1,2,2,0,1,1,0
2.3,Sub-tema,Gases ideais: transformações; equação geral dos gases; misturar gasosas,3,0.012605042016806723,1,0,0,0,0,0,0,0,1,1
2.3.1,Tópico,Gases ideais: transformações; equação geral dos gases; misturar gasosas,3,0.012605042016806723,1,0,0,0,0,0,0,0,1,1
2.4,Sub-tema,Funções químicas: classificação e nomenclatura das substâncias orgânicas e inorgânicas; isomeria,63,0.2647058823529412,4,3,6,7,8,9,6,9,7,4
2.4.1,Tópico,Funções químicas: classificação e nomenclatura das substâncias orgânicas e inorgânicas,46,0.19327731092436976,3,2,4,5,6,6,5,8,5,2
2.4.2,Tópico,Funções químicas: isomeria,17,0.07142857142857142,1,1,2,2,2,3,1,1,2,2
2.5,Sub-tema,"Reações químicas: síntese, decomposição, deslocamento, dupla-troca; balanceamento, ocorrência; oxirredução",50,0.21008403361344538,5,3,4,9,6,5,5,3,5,5
2.5.1,Tópico,"Reações químicas: síntese, decomposição, deslocamento, dupla-troca",26,0.1092436974789916,1,1,3,5,4,3,4,1,2,2
2.5.2,Tópico,"Reações químicas: balanceamento, ocorrência",8,0.03361344537815126,3,1,0,2,0,0,0,0,1,1
2.5.3,Tópico,Reações químicas: oxirredução,16,0.06722689075630252,1,1,1,2,2,2,1,2,2,2
2.6,Sub-tema,"Cálculo estequiométrico simples: fórmula percentual, mínima e molecular; quantidade de matéria, de massa e de volume nas condições normais",26,0.1092436974789916,4,2,1,3,3,2,3,2,3,3
2.6.1,Tópico,"Cálculo estequiométrico simples: fórmula percentual, mínima e molecular; quantidade de matéria, de massa e de volume nas condições normais",26,0.1092436974789916,4,2,1,3,3,2,3,2,3,3
2.7,Sub-tema,Cinética reacional: taxa de reação; fatores de interferência; reações enzimáticas,5,0.02100840336134454,0,1,1,1,0,1,0,0,0,1
2.7.1,Tópico,Cinética reacional: taxa de reação; fatores de interferência; reações enzimáticas,5,0.02100840336134454,0,1,1,1,0,1,0,0,0,1
2.8,Sub-tema,Equilíbrio químico: perturbações; acidez e basicidade,16,0.06722689075630252,1,1,1,1,2,1,2,3,2,2
2.8.1,Tópico,Equilíbrio químico: perturbações; acidez e basicidade,16,0.06722689075630252,1,1,1,1,2,1,2,3,2,2
2.9,Sub-tema,"Fenômenos térmicos: temperatura, calor, dilatação térmica; calor específico, calor latente, mudanças de estado, calorimetria, termoquímica",12,0.05042016806722689,2,1,1,1,1,1,1,2,2,0
2.9.1,Tópico,"Fenômenos térmicos: temperatura, calor, dilatação térmica; calor específico, calor latente, mudanças de estado, calorimetria, termoquímica",12,0.05042016806722689,2,1,1,1,1,1,1,2,2,0
